#{"t_start": 1732830348.7129197, "env_id": "None"}
r,l,t
-93.654594,7,2.507498
-101.0,2,2.510853
-99.36562,5,2.512594
-90.73706,8,2.516023
-99.99622,7,2.516046
-80.65872,12,2.517907
-93.337494,10,2.51793
-101.0,2,2.519686
-99.64067,5,2.521446
-82.54863,8,2.524929
-99.30557,4,2.524951
-90.39972,5,2.526706
-87.733826,5,2.530318
-101.0,2,2.530343
-90.82703,7,2.535537
-93.05833,4,2.535559
-80.84585,10,2.535572
-93.53699,6,2.537416
-95.15927,4,2.537438
-101.0,2,2.539191
-96.851944,3,2.541176
-96.4729,3,2.543012
-86.050514,8,2.544914
-101.0,2,2.544937
-93.202156,4,2.546696
-98.82068,2,2.548511
-97.01616,3,2.550282
-96.65362,5,2.552176
-87.064285,8,2.552212
-94.801544,4,2.55404
-98.92839,2,2.557381
-90.94838,6,2.56095
-97.59581,3,2.562693
-88.58525,8,2.566212
-98.22443,3,2.568125
-94.12992,4,2.568148
-101.0,2,2.56987
-72.592415,20,2.571592
-66.69098,13,2.575037
-98.406494,3,2.575059
-97.43669,5,2.576837
-97.00036,3,2.580256
-92.62476,5,2.583728
-101.0,2,2.58375
-98.16348,5,2.585507
-101.0,2,2.587362
-84.45721,9,2.587384
-70.309204,24,2.590847
-101.0,2,2.59087
-70.648224,14,2.592607
-95.62796,3,2.596087
-90.60736,6,2.596109
-92.4339,8,2.598001
-97.24422,3,2.598024
-94.95633,6,2.601414
-90.419846,4,2.603175
-101.24946,4,2.604938
-96.651024,6,2.608541
-93.863785,3,2.608564
-101.0,2,2.608576
-97.785545,8,2.615037
-96.36618,5,2.616917
-82.175385,12,2.61694
-73.92785,18,2.618692
-100.86052,2,2.620578
-97.1355,3,2.620601
-97.61141,3,2.623968
-98.45353,3,2.625714
-86.4544,6,2.62748
-78.91531,12,2.629246
-101.0,2,2.632619
-94.81471,5,2.634396
-94.355675,8,2.636158
-73.47952,16,2.638019
-96.33792,4,2.638042
-94.163826,7,2.639995
-93.91575,4,2.640018
-101.0,2,2.64003
-97.16551,3,2.643917
-93.108536,4,2.645676
-100.7424,7,2.647431
-99.30235,5,2.649194
-97.55599,4,2.65097
-97.386826,3,2.654495
-95.454895,8,2.654518
-89.99044,9,2.656358
-97.14946,6,2.656381
-97.342735,3,2.659729
-87.73426,7,2.66309
-96.38857,5,2.665097
-99.04901,5,2.665143
-101.549995,4,2.670364
-90.733665,9,2.670388
-76.01963,14,2.672137
-97.32737,5,2.673925
-91.61432,9,2.675785
-94.69764,3,2.675808
-97.49622,3,2.679317
-76.284096,8,2.67934
-94.5975,3,2.68119
-95.67977,5,2.681212
-96.379105,5,2.684571
-90.95951,4,2.688034
-101.0,2,2.688056
-98.71531,2,2.691493
-73.3957,12,2.691515
-97.13713,3,2.696431
-101.0,2,2.699752
-87.92829,13,2.701509
-82.35708,13,2.703376
-85.76682,14,2.703402
-96.50532,3,2.705162
-99.69928,2,2.708744
-96.63302,4,2.708766
-97.16716,3,2.708778
-98.32932,2,2.71222
-78.895706,15,2.713959
-93.05556,4,2.71573
