#{"t_start": 1732834778.5374675, "env_id": "None"}
r,l,t
-80.0,6,1.765876
-88.0,4,1.767653
-92.0,3,1.769639
-48.0,14,1.769662
-96.0,2,1.76968
-96.0,2,1.771441
-80.0,6,1.774788
-84.0,5,1.778184
-88.0,4,1.781548
-72.0,8,1.785028
-68.0,9,1.785051
-80.0,6,1.788674
-60.0,11,1.788696
-96.0,2,1.788714
-92.0,3,1.790493
-96.0,2,1.793998
-92.0,3,1.794021
-88.0,4,1.795817
-32.0,18,1.797683
-68.0,9,1.797706
-92.0,3,1.799601
-80.0,6,1.799624
-88.0,4,1.801413
-92.0,3,1.803195
-84.0,5,1.80509
-84.0,5,1.808576
-92.0,3,1.810343
-72.0,8,1.812398
-76.0,7,1.812421
-80.0,6,1.812439
-96.0,2,1.814223
-76.0,7,1.816258
-88.0,4,1.816281
-96.0,2,1.816298
-92.0,3,1.818088
-92.0,3,1.823094
-76.0,7,1.824875
-96.0,2,1.826686
-88.0,4,1.833287
-60.0,11,1.835067
-76.0,7,1.836991
-52.0,13,1.837014
-92.0,3,1.838837
-44.0,15,1.842389
-92.0,3,1.842412
-40.0,16,1.844309
-88.0,4,1.844332
-92.0,3,1.847883
-76.0,7,1.847906
-80.0,6,1.849735
-84.0,5,1.854881
-80.0,6,1.854905
-88.0,4,1.856927
-92.0,3,1.85695
-88.0,4,1.856968
-96.0,2,1.85888
-96.0,2,1.858902
-96.0,2,1.860694
-92.0,3,1.862551
-60.0,11,1.866343
-88.0,4,1.868112
-76.0,7,1.871635
-72.0,8,1.871658
-80.0,6,1.873464
-96.0,2,1.875257
-84.0,5,1.877032
-92.0,3,1.878936
-96.0,2,1.878959
-84.0,5,1.88074
-52.0,13,1.88253
-96.0,2,1.884292
-92.0,3,1.887707
-80.0,6,1.889486
-96.0,2,1.891267
-44.0,15,1.893036
-68.0,9,1.894921
-92.0,3,1.894944
-56.0,12,1.898333
-84.0,5,1.90013
-84.0,5,1.903773
-84.0,5,1.903798
-96.0,2,1.903815
-96.0,2,1.907384
-88.0,4,1.910802
-92.0,3,1.91272
-60.0,11,1.912743
-76.0,7,1.916174
-60.0,11,1.918061
-92.0,3,1.918084
-84.0,5,1.926709
-8.0,24,1.926732
-68.0,9,1.92675
-72.0,8,1.926764
-96.0,2,1.930305
-72.0,8,1.930328
-88.0,4,1.933722
-64.0,10,1.93551
-88.0,4,1.937273
-92.0,3,1.939052
-72.0,8,1.940817
-84.0,5,1.944318
-64.0,10,1.94434
-68.0,9,1.946248
-84.0,5,1.94627
-96.0,2,1.948157
-88.0,4,1.94818
-88.0,4,1.95495
-92.0,3,1.954975
-80.0,6,1.958381
-92.0,3,1.960156
-56.0,12,1.962149
-68.0,9,1.962172
-96.0,2,1.96219
-72.0,8,1.963986
-96.0,2,1.966231
-92.0,3,1.966255
-92.0,3,1.968043
-68.0,9,1.971461
-92.0,3,1.973244
-76.0,7,1.976701
-80.0,6,1.976725
-76.0,7,1.97862
-92.0,3,1.978643
-96.0,2,1.980425
-76.0,7,1.983895
-52.0,13,1.985771
-84.0,5,1.985793
-92.0,3,1.990771
-72.0,8,1.992555
-68.0,9,1.994447
-96.0,2,1.99447
-92.0,3,1.999455
-84.0,5,2.002805
-76.0,7,2.005002
-56.0,12,2.005032
-92.0,3,2.005049
-44.0,15,2.006921
-96.0,2,2.00872
-92.0,3,2.010503
-88.0,4,2.012341
-92.0,3,2.014333
-88.0,4,2.014355
-96.0,2,2.014373
-96.0,2,2.018013
-96.0,2,2.018036
-32.0,18,2.018053
-96.0,2,2.021565
-96.0,2,2.021588
-48.0,14,2.028429
-80.0,6,2.028491
-88.0,4,2.028509
-84.0,5,2.030275
-88.0,4,2.035232
-52.0,13,2.03711
-84.0,5,2.037133
-80.0,6,2.04054
-72.0,8,2.042438
-92.0,3,2.042461
-92.0,3,2.046158
-96.0,2,2.04618
-28.0,19,2.046198
-80.0,6,2.046212
-92.0,3,2.051177
-80.0,6,2.052979
-64.0,10,2.056555
-96.0,2,2.056579
-76.0,7,2.060105
-96.0,2,2.060128
-96.0,2,2.063649
-84.0,5,2.063671
-92.0,3,2.065487
-76.0,7,2.069122
-96.0,2,2.069145
-96.0,2,2.072522
-96.0,2,2.075955
