#{"t_start": 1732827226.3993359, "env_id": "None"}
r,l,t
-101.0,2,1.773471
-97.04998,3,1.77683
-97.74781,3,1.778641
-81.09898,8,1.780406
-69.96512,23,1.78399
-95.15418,4,1.784013
-87.87423,6,1.784025
-101.0,2,1.787399
-98.5671,5,1.789167
-91.25873,7,1.791033
-60.30082,26,1.791055
-98.72537,4,1.796281
-97.52929,7,1.796309
-92.15929,5,1.799771
-95.322426,5,1.799794
-94.72165,3,1.801666
-85.15765,8,1.801688
-100.37186,4,1.80343
-74.67491,13,1.806998
-97.267845,3,1.807025
-93.85795,3,1.80893
-99.71925,5,1.808952
-100.24853,2,1.810815
-99.00109,5,1.810837
-95.49938,5,1.817391
-91.41517,6,1.820883
-96.42177,6,1.820905
-85.249466,14,1.824475
-101.0,2,1.824498
-101.95798,4,1.824511
-90.32515,4,1.828034
-98.82227,2,1.828057
-97.595024,3,1.833124
-97.00896,3,1.833146
-63.936092,16,1.838121
-81.631065,8,1.840098
-97.55455,3,1.84012
-97.072105,3,1.840132
-87.44262,9,1.841872
-101.0,2,1.843853
-97.05924,3,1.843874
-97.61587,2,1.843887
-97.17676,3,1.845635
-93.81474,4,1.851027
-87.42105,5,1.851052
-66.27026,25,1.852946
-93.64722,6,1.854701
-94.70663,3,1.856438
-94.021416,4,1.861478
-77.37652,12,1.864834
-88.37706,12,1.866696
-97.17125,9,1.866718
-98.66932,2,1.868464
-92.59413,5,1.870319
-90.40137,8,1.870342
-92.51793,4,1.873697
-92.53958,5,1.875658
-79.45521,13,1.87568
-96.354904,3,1.875692
-90.47298,4,1.877431
-85.945404,7,1.880892
-99.42568,4,1.880914
-103.0,4,1.882651
-91.31818,5,1.884399
-96.21964,3,1.886152
-95.24983,3,1.888009
-83.82499,6,1.888031
-101.0,2,1.891387
-97.117584,3,1.89659
-93.7925,6,1.898527
-94.065414,7,1.89855
-101.0,2,1.900302
-97.746185,2,1.90206
-75.22131,13,1.903805
-96.36044,3,1.905693
-85.71853,12,1.905715
-100.45747,4,1.909279
-95.16813,3,1.909301
-72.003365,19,1.909313
-101.0,2,1.912654
-96.89636,3,1.914401
-92.58698,4,1.916155
-98.909035,2,1.918133
-96.46711,3,1.918156
-97.3864,7,1.918168
-87.989395,10,1.923092
-90.914444,4,1.924965
-92.41406,5,1.924988
-94.99539,6,1.928425
-94.342094,4,1.931887
-65.678375,19,1.931909
-96.20536,6,1.935528
-89.85387,4,1.935552
-92.76917,3,1.938832
-98.146675,7,1.945485
-94.15473,5,1.945509
-93.12047,5,1.947278
-101.0,2,1.949239
-84.062515,14,1.949264
-68.57074,18,1.951131
-93.103424,3,1.954647
-85.28256,10,1.95467
-84.64761,8,1.961411
-82.77571,9,1.961434
-89.99237,5,1.963263
-86.93169,9,1.965147
-99.969086,2,1.965171
-95.03452,3,1.968541
-94.07356,3,1.970407
-92.09991,11,1.970429
-101.0,2,1.972187
-95.96844,3,1.975667
-96.99068,3,1.97569
-82.089,9,1.977569
-98.19206,3,1.977592
-99.048,2,1.98098
-95.80388,8,1.989077
-87.49499,6,1.990848
-61.245697,23,1.994456
-73.57531,11,1.996247
-97.797295,2,1.998133
-88.1608,5,1.998156
-101.0,2,2.000147
-86.34883,5,2.00017
-92.53806,14,2.000189
-101.0,2,2.001977
-98.74931,2,2.003753
-93.21626,3,2.005541
-94.61023,3,2.007336
-63.630096,25,2.009208
-101.0,2,2.009231
-88.43779,6,2.011005
-101.0,2,2.012886
-87.94346,8,2.012908
-95.23627,6,2.014675
-96.44852,3,2.016434
-94.91268,5,2.018311
-93.8892,3,2.018334
-90.20031,4,2.020102
-96.54061,9,2.023467
-92.928055,4,2.025224
-97.29313,5,2.02698
-98.36468,2,2.028739
-88.579636,10,2.032203
-101.0,2,2.032226
-93.83772,4,2.034125
-96.21158,8,2.034159
-85.15094,11,2.036025
-99.350975,2,2.036048
-101.0,2,2.037836
-97.56714,3,2.043007
-101.0,2,2.043031
-90.82485,6,2.046389
-84.51621,13,2.048354
-97.00045,3,2.048377
-83.78032,8,2.048396
-90.868965,7,2.050162
-94.271164,5,2.052329
-97.7586,2,2.052352
-94.37071,3,2.054398
-98.01542,2,2.054421
-97.68279,3,2.05444
-101.0,2,2.057924
-100.66708,2,2.057946
-95.514084,4,2.059804
-97.18677,3,2.059828
-82.07227,9,2.063402
-94.01265,3,2.063425
-96.022415,6,2.063443
-97.12613,5,2.066814
-101.0,2,2.070196
-88.00298,5,2.071973
-93.970894,8,2.07383
-90.89272,8,2.073853
-84.75794,7,2.075626
-93.29735,4,2.077391
-72.27362,11,2.082469
-94.85956,5,2.082492
-92.45944,8,2.085993
-90.84931,7,2.086016
-101.01782,6,2.087801
-97.11353,4,2.089565
-97.76958,3,2.091451
-90.54417,5,2.091474
-93.68155,4,2.093294
-97.753204,3,2.095206
-98.079865,12,2.097121
-101.0,2,2.097144
-87.841255,5,2.101086
-92.9014,5,2.101114
-100.47544,2,2.101132
-100.60427,2,2.104581
-90.323746,5,2.106349
-93.64468,4,2.10816
-99.00705,5,2.109926
-93.82002,3,2.11328
-95.951744,5,2.115163
-94.063965,3,2.115187
-59.87749,16,2.11702
-70.2423,13,2.118784
-97.80295,3,2.120663
-101.0,2,2.120686
-88.04003,10,2.122432
-97.80956,3,2.124421
-91.27657,6,2.124444
-101.0,2,2.124463
-93.72238,7,2.128038
-103.0,4,2.128061
-97.14263,3,2.12808
-97.00194,3,2.12985
-99.80749,2,2.133272
-99.673546,4,2.135277
-91.7932,6,2.1353
-91.72178,4,2.135319
-87.48313,7,2.137092
-101.0,2,2.138877
-97.51399,3,2.140817
-92.161736,4,2.144235
-99.062035,3,2.144259
-95.92816,3,2.147746
-98.29049,4,2.147769
-98.21374,2,2.151134
-91.018,10,2.153031
-97.101654,5,2.153054
-81.07764,14,2.154847
-94.75616,4,2.158331
-87.55491,6,2.158354
-93.88585,6,2.163378
-101.0,2,2.166862
-91.3242,7,2.17032
-95.29802,10,2.172091
-82.5625,18,2.175453
-70.9555,14,2.177208
-80.34621,12,2.178994
-85.98854,10,2.183936
-92.80374,9,2.185809
-85.199646,8,2.185832
-98.025,7,2.189197
-84.111244,7,2.190972
-97.787224,4,2.192851
-91.96917,4,2.192875
-101.0,2,2.1966
-97.92836,3,2.198435
-89.77777,7,2.201969
-96.114456,10,2.201992
-97.00553,3,2.207
-81.95335,19,2.208775
-87.57258,7,2.210561
-94.73255,6,2.212366
-90.360855,11,2.215755
-92.276566,5,2.217567
-103.0,4,2.219355
-97.83059,2,2.221234
-94.36522,3,2.221257
-86.276306,7,2.22303
-96.39949,3,2.226759
-55.549347,20,2.226783
-81.328766,11,2.226802
-90.49742,6,2.230154
-97.273544,3,2.231926
-92.26741,6,2.233685
-93.86403,5,2.235459
-93.8336,4,2.237211
-91.30363,10,2.238961
-87.50599,8,2.240875
-98.128586,3,2.240898
-97.99617,2,2.24602
-95.75641,5,2.247919
-79.645935,8,2.247942
-95.906425,3,2.251313
-93.711235,9,2.256413
-93.67379,4,2.258304
-85.78971,6,2.258327
-98.91438,2,2.261791
-96.887764,5,2.267073
-91.91263,7,2.268821
-81.21471,16,2.270768
-61.82835,20,2.270791
-90.861084,6,2.272556
-91.42206,5,2.276052
-100.192665,2,2.276076
-100.396545,2,2.279433
-91.23713,6,2.281203
-98.6328,4,2.282973
-97.30721,3,2.284842
-91.88184,9,2.284864
-46.650703,22,2.286726
-97.05337,3,2.286749
-96.19826,10,2.28851
-97.22172,3,2.29026
-96.99781,3,2.292245
-97.030754,3,2.292268
-93.72617,5,2.292287
-93.9353,3,2.294399
-88.98543,5,2.294427
-101.0,2,2.297835
-91.73218,7,2.302772
-87.98173,7,2.304802
-94.49416,6,2.304828
-87.61793,8,2.306636
-98.93894,2,2.308448
-99.66545,2,2.310351
-100.38742,4,2.310375
-81.47068,11,2.312322
-94.51824,4,2.312346
-101.0,2,2.314113
-93.488655,4,2.316071
-100.64746,2,2.316094
-95.23778,3,2.316113
-97.01448,3,2.317932
-76.37091,12,2.319701
-96.900925,3,2.321472
-99.351456,5,2.323344
-101.0,2,2.323366
-89.63905,5,2.32513
-96.52293,3,2.326908
-96.85978,7,2.328702
-94.077934,3,2.332104
-86.96327,7,2.337326
-84.17675,11,2.337349
-81.44214,8,2.337368
-93.369576,4,2.339118
-69.771736,13,2.34739
-88.75697,12,2.35077
-98.11598,3,2.352763
-93.20735,8,2.352786
-82.97244,8,2.352807
-88.487854,10,2.356307
-101.0,2,2.356331
-95.12665,3,2.358238
-99.29687,5,2.360037
-97.975784,3,2.363566
-89.60706,6,2.363601
-86.11019,5,2.365555
-94.90534,3,2.368973
-103.0,4,2.370802
-84.50444,7,2.372553
-95.55543,3,2.374324
-77.560936,21,2.377811
-85.987465,7,2.377834
-101.0,2,2.381231
-86.25055,7,2.382996
-72.30355,16,2.384871
-90.77227,7,2.384894
-88.10596,5,2.38677
-93.59335,7,2.386793
-99.78415,2,2.390287
-90.49353,4,2.390311
-93.6489,6,2.395553
-83.73669,6,2.397389
-91.26795,5,2.399161
-87.61061,9,2.401202
-95.35546,6,2.401225
-101.0,2,2.401244
-93.21493,4,2.403042
-80.886635,13,2.404998
-97.46526,3,2.40502
-97.01859,3,2.406914
-101.0,2,2.406937
-90.74394,5,2.411172
-97.060104,3,2.411195
-99.0018,2,2.411217
-97.01047,3,2.41985
-96.84126,4,2.424102
-90.28479,9,2.424127
-101.0,2,2.428148
-101.0,2,2.43219
-87.15344,10,2.436435
-101.0,2,2.436476
-89.06328,8,2.440449
-97.157394,3,2.452253
-100.11731,2,2.452282
-105.0,6,2.452301
-95.44351,4,2.452318
-101.0,2,2.460805
-101.0,2,2.46083
-66.26974,14,2.460848
-101.0,2,2.460865
-88.145935,5,2.460881
-98.801346,2,2.465593
-98.1816,5,2.47079
-97.20737,3,2.470814
-95.57102,3,2.47575
-94.146675,4,2.477612
-82.26067,9,2.477636
-99.73529,2,2.479383
-99.78723,2,2.481155
-81.09308,13,2.484754
-79.32821,13,2.484776
-100.68672,2,2.484796
-94.56431,6,2.488494
-100.72122,2,2.488516
-72.341675,17,2.488535
-96.31888,5,2.488552
-97.243484,3,2.49032
-100.28066,2,2.492112
-97.023964,3,2.494084
-97.08244,3,2.494111
-93.29385,6,2.49608
-97.27481,3,2.496103
-96.03198,3,2.499615
-101.0,2,2.499638
-95.2866,5,2.50304
-81.816246,7,2.50497
-99.99687,5,2.504993
-97.63302,3,2.508459
-96.346985,5,2.513717
-80.4288,15,2.515529
-96.314186,3,2.518986
-89.841034,7,2.520807
-92.56792,4,2.526045
-67.0251,15,2.526068
-93.881294,4,2.528012
-99.84026,13,2.528036
-76.89731,17,2.529828
-97.0148,3,2.533283
-93.91974,4,2.535219
-91.44173,5,2.535242
-78.26805,12,2.537169
-99.63104,2,2.537193
-91.37818,5,2.53899
-97.10541,8,2.54081
-95.56141,3,2.542625
-99.834564,4,2.544549
-95.58175,3,2.544572
-92.753845,3,2.546517
-91.94624,6,2.54654
-80.42582,7,2.548354
-94.48331,3,2.550149
-101.36738,4,2.55194
-97.09604,3,2.555436
-93.75425,7,2.55738
-95.40587,3,2.557404
-89.48005,6,2.559364
-97.14133,3,2.559387
-88.89349,4,2.564651
-97.48773,3,2.564675
-99.36505,5,2.566843
-89.0882,8,2.570355
-93.459854,7,2.572168
-70.865,14,2.573976
-101.0,2,2.575786
-90.75501,4,2.577607
-101.0,2,2.579547
-88.42506,7,2.579571
-86.92488,9,2.581395
-92.92999,11,2.584883
-101.0,2,2.588368
-89.04297,6,2.590167
-101.0,2,2.592092
-89.552246,6,2.592116
-77.212814,8,2.593964
-97.846375,10,2.595845
-79.294075,13,2.597784
-94.87302,3,2.597808
-94.10678,4,2.601256
-93.276535,9,2.60781
-85.22011,7,2.609568
-86.59723,9,2.6132
-83.951096,13,2.613223
-97.61424,3,2.613242
-76.616196,12,2.616614
-90.17812,10,2.618432
-95.6187,4,2.620308
-92.29572,4,2.620332
-97.54548,3,2.6221
-99.04139,2,2.623878
-90.919044,7,2.625791
-101.0,2,2.625814
-92.22122,11,2.629185
-93.45145,3,2.631176
-93.62547,4,2.631199
-80.14866,7,2.631217
