#{"t_start": 1732828023.837874, "env_id": "None"}
r,l,t
-96.0,2,2.412065
-92.0,3,2.415463
-76.0,7,2.417212
-60.0,11,2.418977
-96.0,2,2.422586
-76.0,7,2.422608
-64.0,10,2.426076
-84.0,5,2.426097
-68.0,9,2.427844
-72.0,8,2.429639
-84.0,5,2.431516
-84.0,5,2.431537
-84.0,5,2.434909
-92.0,3,2.436675
-84.0,5,2.438424
-88.0,4,2.442034
-92.0,3,2.442096
-80.0,6,2.442107
-64.0,10,2.443846
-88.0,4,2.445639
-92.0,3,2.447398
-56.0,12,2.449368
-88.0,4,2.449389
-92.0,3,2.4494
-88.0,4,2.45274
-84.0,5,2.457708
-64.0,10,2.459681
-80.0,6,2.459702
-80.0,6,2.459714
-68.0,9,2.464716
-88.0,4,2.466466
-88.0,4,2.46856
-96.0,2,2.468587
-72.0,8,2.4686
-80.0,6,2.472357
-80.0,6,2.47238
-96.0,2,2.472392
-88.0,4,2.476397
-96.0,2,2.47642
-84.0,5,2.476432
-80.0,6,2.480005
-84.0,5,2.485096
-80.0,6,2.487032
-72.0,8,2.487057
-84.0,5,2.48888
-72.0,8,2.490805
-64.0,10,2.490827
-92.0,3,2.492737
-96.0,2,2.492759
-96.0,2,2.494546
-96.0,2,2.496343
-76.0,7,2.498121
-92.0,3,2.499936
-88.0,4,2.503523
-68.0,9,2.503546
-76.0,7,2.505343
-88.0,4,2.507133
-96.0,2,2.510672
-60.0,11,2.510694
-72.0,8,2.51247
-80.0,6,2.514265
-92.0,3,2.516074
-76.0,7,2.517874
-92.0,3,2.519683
-64.0,10,2.521639
-92.0,3,2.521662
-84.0,5,2.526714
-84.0,5,2.530125
-56.0,12,2.531915
-96.0,2,2.533711
-96.0,2,2.535633
-72.0,8,2.535655
-92.0,3,2.54081
-40.0,16,2.540831
-48.0,14,2.544387
-64.0,10,2.544409
-76.0,7,2.546202
-76.0,7,2.548112
-96.0,2,2.548134
-84.0,5,2.549917
-96.0,2,2.551708
-76.0,7,2.553503
-88.0,4,2.555337
-84.0,5,2.558754
-92.0,3,2.560572
-64.0,10,2.564214
-84.0,5,2.564235
-96.0,2,2.566043
-96.0,2,2.567858
-52.0,13,2.571465
-92.0,3,2.571488
-84.0,5,2.573271
-88.0,4,2.575094
-64.0,10,2.578573
-84.0,5,2.580475
-84.0,5,2.582269
-80.0,6,2.585681
-88.0,4,2.587469
-60.0,11,2.590861
-88.0,4,2.594374
-76.0,7,2.594395
-92.0,3,2.596156
-72.0,8,2.599562
-88.0,4,2.60134
-92.0,3,2.60628
-72.0,8,2.608045
-72.0,8,2.610065
-80.0,6,2.610087
-32.0,18,2.610099
-96.0,2,2.61198
-92.0,3,2.612006
40.0,36,2.61721
-88.0,4,2.617231
-92.0,3,2.617243
-80.0,6,2.62061
-92.0,3,2.622378
-68.0,9,2.627553
-80.0,6,2.627574
-80.0,6,2.627585
-88.0,4,2.629344
-92.0,3,2.632793
-96.0,2,2.632814
-88.0,4,2.634559
-68.0,9,2.636312
-80.0,6,2.638064
-88.0,4,2.639827
-92.0,3,2.641568
-88.0,4,2.6465
-72.0,8,2.648254
-92.0,3,2.651606
-56.0,12,2.653369
-92.0,3,2.656807
